Date,Unit,Category,Amount,Type
"02/01/2020","All Units","Wages & salaries",100,"Expense"
"2020-01-01","All Units","Repairs",54,"Expense"
"2020-01-01","All Units","Other",28,"Expense"
"2020-01-01","Flat 3","Repairs",10,"Expense"
"2020-01-01","All Units","Utilities",10,"Expense"
"2020-01-01","All Units","Withdrawals",729,"Expense"
"2020-01-01","All Units","Wages & salaries",100,"Expense"
"2020-01-01","All Units","Wages & salaries",20,"Expense"
"2020-01-01","All Units","Withdrawals",787,"Expense"
"2020-01-01","All Units","Wages & salaries",100,"Expense"
"2020-01-01","All Units","Property taxes",250,"Expense"
"2020-01-01","All Units","Withdrawals",587,"Expense"
"2020-01-01","All Units","Wages & salaries",140,"Expense"
"2020-01-01","All Units","Withdrawals",1105,"Expense"
"2020-01-01","Flat 1","Repairs",70,"Expense"
"2020-01-01","All Units","Wages & salaries",140,"Expense"
"2020-01-01","Flat 1","Repairs",20,"Expense"
"2020-01-01","All Units","Withdrawals",1005,"Expense"
"2020-01-01","All Units","Wages & salaries",140,"Expense"
"2020-01-01","Flat 7","Other",130,"Expense"
"2020-01-01","All Units","Withdrawals",975,"Expense"
"2020-01-01","Flat 5","Repairs",475,"Expense"
"2020-01-01","All Units","Wages & salaries",20,"Expense"
"2020-01-01","All Units","Wages & salaries",200,"Expense"
"2020-01-01","Flat 5","Utilities",10,"Expense"
"2020-01-01","All Units","Withdrawals",560,"Expense"
"2020-01-01","All Units","Wages & salaries",200,"Expense"
"2020-01-01","All Units","Repairs",285,"Expense"
"2020-01-01","All Units","Withdrawals",1240,"Expense"
"2020-01-01","All Units","Maintenance",15,"Expense"
"2020-01-01","All Units","Wages & salaries",200,"Expense"
"2020-01-01","All Units","Utilities",15,"Expense"
"2020-01-01","All Units","Withdrawals",1350,"Expense"
"2020-01-01","Flat 7","Repairs",23,"Expense"
"2020-01-01","All Units","Wages & salaries",200,"Expense"
"2020-01-01","All Units","Withdrawals",1607,"Expense"
"2020-01-01","All Units","Wages & salaries",200,"Expense"
"2020-01-01","All Units","Withdrawals",1375,"Expense"
"2020-01-01","Flat 1","Wages & salaries",200,"Expense"
"2020-01-01","All Units","Maintenance",360,"Expense"
"2020-01-01","All Units","Utilities",20,"Expense"
"2020-01-01","All Units","Withdrawals",1195,"Expense"
"25/12/19","Flat 1","Rent",102.88,"Income"
"25/12/19","Flat 2","Rent",79.62,"Income"
"25/12/19","Flat 3","Rent",96.15,"Income"
"25/12/19","Flat 4","Rent",101.92,"Income"
"25/12/19","Flat 5","Rent",100.96,"Income"
"25/12/19","Flat 6","Rent",250,"Income"
"25/12/19","Flat 8","Rent",200,"Income"
"25/01/20","Flat 1","Rent",163.46,"Income"
"25/01/20","Flat 2","Rent",134.62,"Income"
"25/01/20","Flat 3","Rent",134.62,"Income"
"25/01/20","Flat 4","Rent",163.46,"Income"
"25/01/20","Flat 5","Rent",163.46,"Income"
"25/01/20","Flat 6","Rent",147.12,"Income"
"25/01/20","Flat 8","Rent",200,"Income"
"25/02/20","Flat 1","Rent",171.63,"Income"
"25/02/20","Flat 2","Rent",137.31,"Income"
"25/02/20","Flat 3","Rent",130.77,"Income"
"25/02/20","Flat 4","Rent",171.63,"Income"
"25/02/20","Flat 5","Rent",171.46,"Income"
"25/02/20","Flat 6","Rent",154.4711538,"Income"
"25/02/20","Flat 8","Rent",200,"Income"
"25/03/20","Flat 1","Rent",250,"Income"
"25/03/20","Flat 2","Rent",200,"Income"
"25/03/20","Flat 3","Rent",200,"Income"
"25/03/20","Flat 4","Rent",200,"Income"
"25/03/20","Flat 5","Rent",170,"Income"
"25/03/20","Flat 6","Rent",225,"Income"
"25/03/20","Flat 8","Rent",200,"Income"
"25/04/20","Flat 1","Rent",250,"Income"
"25/04/20","Flat 2","Rent",200,"Income"
"25/04/20","Flat 3","Rent",200,"Income"
"25/04/20","Flat 4","Rent",180,"Income"
"25/04/20","Flat 5","Rent",180,"Income"
"25/04/20","Flat 6","Rent",225,"Income"
"25/04/20","Flat 8","Rent",200,"Income"
"25/05/20","Flat 1","Rent",250,"Income"
"25/05/20","Flat 2","Rent",200,"Income"
"25/05/20","Flat 3","Rent",200,"Income"
"25/05/20","Flat 4","Rent",200,"Income"
"25/05/20","Flat 5","Rent",170,"Income"
"25/05/20","Flat 6","Rent",225,"Income"
"25/05/20","Flat 8","Rent",200,"Income"
"25/06/20","Flat 1","Rent",230,"Income"
"25/06/20","Flat 2","Rent",200,"Income"
"25/06/20","Flat 3","Rent",200,"Income"
"25/06/20","Flat 4","Rent",410,"Income"
"25/06/20","Flat 6","Rent",225,"Income"
"25/06/20","Flat 8","Rent",200,"Income"
"25/07/20","Flat 1","Rent",250,"Income"
"25/07/20","Flat 3","Rent",200,"Income"
"25/07/20","Flat 4","Rent",200,"Income"
"25/07/20","Flat 5","Rent",225,"Income"
"25/07/20","Flat 6","Rent",225,"Income"
"25/07/20","Flat 7","Rent",200,"Income"
"25/07/20","Flat 8","Rent",200,"Income"
"25/08/20","Flat 1","Rent",230,"Income"
"25/08/20","Flat 2","Rent",250,"Income"
"25/08/20","Flat 3","Rent",200,"Income"
"25/08/20","Flat 5","Rent",225,"Income"
"25/08/20","Flat 6","Rent",225,"Income"
"25/08/20","Flat 7","Rent",200,"Income"
"25/08/20","Flat 8","Rent",200,"Income"
"25/09/20","Flat 1","Rent",230,"Income"
"25/09/20","Flat 2","Rent",250,"Income"
"25/09/20","Flat 3","Rent",200,"Income"
"25/09/20","Flat 4","Rent",250,"Income"
"25/09/20","Flat 5","Rent",225,"Income"
"25/09/20","Flat 6","Rent",225,"Income"
"25/09/20","Flat 7","Rent",200,"Income"
"25/09/20","Flat 8","Rent",200,"Income"
"25/10/20","Flat 1","Rent",225,"Income"
"25/10/20","Flat 2","Rent",250,"Income"
"25/10/20","Flat 3","Rent",200,"Income"
"25/10/20","Flat 4","Rent",250,"Income"
"25/10/20","Flat 5","Rent",225,"Income"
"25/10/20","Flat 6","Rent",225,"Income"
"25/10/20","Flat 7","Rent",200,"Income"
"25/10/20","Flat 8","Rent",200,"Income"
